# Of Incr,Address,Adj Est.Amt#1,Adj Est.Amt#2,Adj Est.Date#1,Adj Est.Date#2,Application #,Approval Ext. Date,Approved Date,Auto Fire Detection,City,Client's Notes,Climate Zone,Closed Date,Complete Submittal Received Date,Construction Change Document Amt,Contracted Amt,EPR Approved Date,Energy Efficiency,Energy Notes,Estimated Amt,File #,HPI,HPI Hours,HPI Points,Included In Plan,OPSC #,Office ID,PTN #,Project Class,Project Name,Project Scope,Project Type,Project's Sq.footage,Received Date,Required,Required review services,SB 575,Special Type,Special review type,Sprinkler System,Zip,adjamt1,adjamt2,adjdate1,adjdate2,app_id,appextdate,client_id,comprecvdate,county_id,district_code,district_name,dsa_app_id,finalprojectcost,mode,new,notes,origin_id,project_name,ptn,sq,table_0_address,table_0_project_name,table_0_project_scope,url
0,3111 Center Court Lane,,,,,119224,,10/5/2021,,Antelope,Plan Review Fee received 7/6/21 - JA,0,5/1/2024 1:39:35 PM,,"$401,393.34","$4,778,000.00",,,,"$4,200,000.00",34-H9,,,,,55/73973-00-001 & 55/7397,02,73973-48,Class 2,Center High School (center Joint Unified School District),"Construction of 1-Shop Building, 1-Shade Structure, 1-Classroom Building, 1-Site Improvement",School (K-12),,7/7/2021,,,,NA,,,95843,$0.00,$0.00,,,119224,,34-H9,,34,34-H9,Center Joint Unified School District,02  119224,"$5,179,393.34",0,0,Plan Review Fee received 7/6/21 - JA,02,Center High School (center Joint Unified School District),73973-48,0,3111 Center Court Lane,Center High School (center Joint Unified School District),"Construction of 1-Shop Building, 1-Shade Structure, 1-Classroom Building, 1-Site Improvement",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=119224
0,3901 Little Rock Drive,,,,,120908,,2/7/2023,,Antelope,SPOTC Request,0,5/7/2025 8:16:19 AM,,"$3,621,619.12","$2,567,770.00",,,,"$2,734,230.00",34-10,,,,,,02,73973-54,Class 3,North Country Elementary School (center Joint Unified School District),"Alterations to 21-Buildings/Modernization & Fire Alarm upgrade, 1-Site Improvement",School (K-12),,1/10/2023,,,,NA,,,95843,"$3,800,000.00",$0.00,1/19/2023,,120908,,34-10,,34,34-10,Center Joint Unified School District,02  120908,"$6,189,389.12",0,0,SPOTC Request,02,North Country Elementary School (center Joint Unified School District),73973-54,0,3901 Little Rock Drive,North Country Elementary School (center Joint Unified School District),"Alterations to 21-Buildings/Modernization & Fire Alarm upgrade, 1-Site Improvement",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=120908
0,3901 Little Rock Drive,,,,,119588,,4/5/2022,,Antelope,12/21/22 Original submittal date of 11/22/21 revised to 1/28/22 -JB,0,4/9/2024 9:26:44 AM,,"$81,281.00","$1,498,000.00",,,,"$1,058,000.00",34-10,,,,,,02,73973-49,Class 3,North Country Elementary School (center Unified School District),"Alterations to 6-Classroom Buildings (HVAC Upgrade), 1-Administration / Multi-Use Building (HVAC Upgrade)",School (K-12),,11/22/2021,,,,NA,,,95843,$0.00,$0.00,,,119588,,34-10,1/28/2022,34,34-10,Center Joint Unified School District,02  119588,"$1,579,281.00",0,0,12/21/22 Original submittal date of 11/22/21 revised to 1/28/22 -JB,02,North Country Elementary School (center Unified School District),73973-49,0,3901 Little Rock Drive,North Country Elementary School (center Unified School District),"Alterations to 6-Classroom Buildings (HVAC Upgrade), 1-Administration / Multi-Use Building (HVAC Upgrade)",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=119588
0,3901 Little Rock Drive,,,,,121915,,5/29/2024,,Antelope,11/20/2023 Reg revised form updated. (IA),0,3/27/2025 12:55:34 PM,,"$2,315,822.58","$2,734,230.00",,,,"$3,000,000.00",34-10,,,,,,02,73973-57,Class 2,North Country Es (center Joint Usd),Construction of 2-Classroom Buildings R & S,School (K-12),,1/3/2024,,,,NA,,,95843,$0.00,$0.00,,,121915,,34-10,1/3/2024,34,34-10,Center Joint Unified School District,02  121915,"$5,050,052.58",0,0,11/20/2023 Reg revised form updated. (IA),02,North Country Es (center Joint Usd),73973-57,0,3901 Little Rock Drive,North Country Es (center Joint Usd),Construction of 2-Classroom Buildings R & S,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=121915
0,3909 North Loop Boulevard,,,,,118373,,8/25/2020,,Antelope,"Check for $24460.27 Rcvd 6/16/2020 DT. 
/22/2020 Verify that Plan Review Fees have been paid prior to back-check IA/EE.
L02-502177(cs).",0,3/18/2022 9:50:14 AM,,"$62,493.00","$2,281,553.00",,,,"$1,877,169.00",34-10,,,,,,02,73973-40,Class 2 & RBIP,Oak Hill Elementary School (center Joint Unified School District),Alterations to 1-Administration/ Multi-purpose/ Library Building; Construction of 2-Kindergarten Buildings,School (K-12),,6/19/2020,,,,NA,,,95843,$0.00,$0.00,,,118373,,34-10,6/19/2020,34,34-10,Center Joint Unified School District,02  118373,"$2,467,653.00",0,0,"Check for $24460.27 Rcvd 6/16/2020 DT. 
/22/2020 Verify that Plan Review Fees have been paid prior to back-check IA/EE.
L02-502177(cs).",02,Oak Hill Elementary School (center Joint Unified School District),73973-40,0,3909 North Loop Boulevard,Oak Hill Elementary School (center Joint Unified School District),Alterations to 1-Administration/ Multi-purpose/ Library Building; Construction of 2-Kindergarten Buildings,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=118373
0,3909 N. Loop Blvd.,,,,,121265,,5/24/2023,,Antelope,"05/16/2023 check#81-200560 for $4456.39 paid for the Est Cost Diff.(IA)
05/10/2023 DSA-1 Revised form has been updated for a new Est Cost.(IA)
05/05/2023 DSA-1 Revised form has been updated for the Est Cost.(IA) 
SPOTC Request
04/11/2023 check#81200072 for $15193.61 paid. (IA)",0,4/29/2025 7:53:36 AM,,"$995,303.75","$5,596,600.00",,,,"$3,314,535.00",34-10,,,,,,02,73973-55,Class 3,Oak Hill Elementary School (center Joint Unified School District),"Alterations to 1-Multi-Use Building, 1-Toilet Building (Relocatable), 27-Fire Alarm upgrade, 7-Classroom Buildings, 18-Classroom Building  (Relocatable)",School (K-12),,4/21/2023,,,,NA,,,95843,"$4,091,346.00","$6,591,903.75",5/4/2023,5/10/2023,121265,,34-10,,34,34-10,Center Joint Unified School District,02  121265,"$6,591,903.75",0,0,"05/16/2023 check#81-200560 for $4456.39 paid for the Est Cost Diff.(IA)
05/10/2023 DSA-1 Revised form has been updated for a new Est Cost.(IA)
05/05/2023 DSA-1 Revised form has been updated for the Est Cost.(IA) 
SPOTC Request
04/11/2023 check#81200072 for $15193.61 paid. (IA)",02,Oak Hill Elementary School (center Joint Unified School District),73973-55,0,3909 N. Loop Blvd.,Oak Hill Elementary School (center Joint Unified School District),"Alterations to 1-Multi-Use Building, 1-Toilet Building (Relocatable), 27-Fire Alarm upgrade, 7-Classroom Buildings, 18-Classroom Building  (Relocatable)",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=121265
2,Upland Drive Between Grande Vista Blvd. & Whisper,,,,,119109,,7/26/2021,,Roseville,"SPOTC(CS).

Plan Review Fee received 6-2-21 - JA",0,2/20/2024 1:29:37 PM,,"$9,155,144.12","$34,969,842.00",,,,"$37,890,000.00",(31)34-10,,,,,,02,73973-46,Class 2,Rex Fortune Elementary School (center Joint Unified School District),"Construction of 1-Site Improvement, 1-Administration Building, 3-Shade Structures, 2-Kindergarten Buildings, 1-Multi-purpose Building, 4-Classroom Buildings, 1-Marquee Sign",School (K-12),,6/2/2021,,,,NA,,,95747,$0.00,$0.00,,,119109,,34-10,,34,34-10,Center Joint Unified School District,02  119109,"$44,124,986.12",0,0,"SPOTC(CS).

Plan Review Fee received 6-2-21 - JA",02,Rex Fortune Elementary School (center Joint Unified School District),73973-46,0,Upland Drive Between Grande Vista Blvd. & Whisper,Rex Fortune Elementary School (center Joint Unified School District),"Construction of 1-Site Improvement, 1-Administration Building, 3-Shade Structures, 2-Kindergarten Buildings, 1-Multi-purpose Building, 4-Classroom Buildings, 1-Marquee Sign",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=119109
0,8141 Stevenson Avenue,,,,,123234,,3/20/2025,,Sacramento,3/21/25 Paid online for $1721.50 & $6103.50. Conf#25031436649596-25031436657897. (IA),0,,,$0.00,"$680,000.00",,,,"$1,100,000.00",34-17,,,,,,02,67314-405,Class 2,Anna Kirchgater Elementary School (elk Grove Unified School District),Alterations to 1-Classroom Building  (Relocatable); Construction of 1-Shade Structure,School (K-12),,3/14/2025,,,,NA,,,95828,"$500,000.00",$0.00,3/14/2025,,123234,,34-17,,34,34-17,Elk Grove Unified School District,02  123234,$0.00,0,0,3/21/25 Paid online for $1721.50 & $6103.50. Conf#25031436649596-25031436657897. (IA),02,Anna Kirchgater Elementary School (elk Grove Unified School District),67314-405,0,8141 Stevenson Avenue,Anna Kirchgater Elementary School (elk Grove Unified School District),Alterations to 1-Classroom Building  (Relocatable); Construction of 1-Shade Structure,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=123234
0,7600 Lindale Dr.,,,,,122853,,11/27/2024,,Sacramento,"payment of $7,650.00 received 9/11/2024 MC",0,,,$0.00,"$905,000.00",,,,"$1,200,000.00",34-17,,,,,,02,67314-390,Class 3,David Reese Elementary School (elk Grove Unified School District),Reconstruction of 1-Site Improvement,School (K-12),,9/13/2024,,,,NA,,,95828,$0.00,$0.00,,,122853,,34-17,,34,34-17,Elk Grove Unified School District,02  122853,$0.00,0,0,"payment of $7,650.00 received 9/11/2024 MC",02,David Reese Elementary School (elk Grove Unified School District),67314-390,0,7600 Lindale Dr.,David Reese Elementary School (elk Grove Unified School District),Reconstruction of 1-Site Improvement,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=122853
0,7600 Lindale Drive,,,,,123426,,5/6/2025,,Sacramento,payment of $500.00 received 4/29/2025 MC,0,,,$0.00,$0.00,,,,"$1,600,000.00",34-17,,,,,,02,67314-411,N/A,David Reese Elementary School (elk Grove Unified School District),Alterations to 1-Administration Building,School (K-12),,4/30/2025,,,,NA,,,95828,"$50,000.00",$0.00,4/29/2025,,123426,,34-17,,34,34-17,Elk Grove Unified School District,02  123426,$0.00,0,0,payment of $500.00 received 4/29/2025 MC,02,David Reese Elementary School (elk Grove Unified School District),67314-411,0,7600 Lindale Drive,David Reese Elementary School (elk Grove Unified School District),Alterations to 1-Administration Building,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=123426
