# Of Incr,Address,Adj Est.Amt#1,Adj Est.Amt#2,Adj Est.Date#1,Adj Est.Date#2,Application #,Approval Ext. Date,Approved Date,Auto Fire Detection,City,Client's Notes,Climate Zone,Closed Date,Complete Submittal Received Date,Construction Change Document Amt,Contracted Amt,EPR Approved Date,Energy Efficiency,Energy Notes,Estimated Amt,File #,HPI,HPI Hours,HPI Points,Included In Plan,OPSC #,Office ID,PTN #,Project Class,Project Name,Project Scope,Project Type,Project's Sq.footage,Received Date,Required,Required review services,SB 575,Special Type,Special review type,Sprinkler System,Zip,adjamt1,adjamt2,adjdate1,adjdate2,app,app_id,appextdate,client_id,comprecvdate,county_id,district_code,district_name,dsa_app_id,enotes,finalprojectcost,mode,new,notes,origin_id,project_name,ptn,sq,table_0_address,table_0_project_name,table_0_project_scope,url
0,11755 Ivie Road,,,,,100230,,6/3/1998,,Herald,,,6/15/1999,,$0.00,"$124,823.96",,,,"$120,000.00",34-4,,,,,,02,,Class 1,Archoe Elementary School,CONST. OF CLSRM. BLDG. AND TOILET BLDG. (RELOCATABLE),School (K-12),,3/11/1998,,,,NA,,,95638,,,,,,100230,,34-4,,34,34-4,Arcohe Union Elementary School District,02  100230,,"$124,823.96",,,,02,Archoe Elementary School,,,11755 Ivie Road,Archoe Elementary School,CONST. OF CLSRM. BLDG. AND TOILET BLDG. (RELOCATABLE),https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=100230
0,11755 Ivie Road,,,,,100092,,6/8/1998,,Herald,"Entire scope constructed   GF  10/28/99
NO further fee required   GF  10/28/99
CLOSED #1",,2/24/2000,,"$36,023.00","$456,600.00",,,,"$640,000.00",34-4,,,,,77/67280-0001,02,,Class 3,Archoe Elementary School - Arcohe Union School District,Construction of ALTS. TO THREE CLSRM. BLDGS.,School (K-12),,12/30/1997,,,,NA,,,95638,,,,,,100092,,34-4,,34,34-4,Arcohe Union Elementary School District,02  100092,,"$492,623.00",,,"Entire scope constructed   GF  10/28/99
NO further fee required   GF  10/28/99
CLOSED #1",02,Archoe Elementary School - Arcohe Union School District,,,11755 Ivie Road,Archoe Elementary School - Arcohe Union School District,Construction of ALTS. TO THREE CLSRM. BLDGS.,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=100092
0,11755 Ivie Rd.,,,,,115206,,6/8/2016,,Herald,,0,7/11/2017 9:41:19 AM,,$0.00,"$148,335.00",,,,"$145,000.00",34-4,,,,,,02,67280-3,Class 2,Archoe Middle School (archoe Union Elementary School District),Construction of 1-Shade Structure,School (K-12),,6/8/2016,,,,NA,,,95638,$0.00,$0.00,,,,115206,,34-4,,34,34-4,Arcohe Union Elementary School District,02  115206,,"$148,335.00",0,0,,02,Archoe Middle School (archoe Union Elementary School District),67280-3,0,11755 Ivie Rd.,Archoe Middle School (archoe Union Elementary School District),Construction of 1-Shade Structure,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=115206
0,11755 Ivie Rd,,,,,103083,,5/4/2001,,Herald,requested 90 day 11/21/02 JBB Closed #1,,12/17/2002,,"$44,423.85","$378,758.00",,,,"$375,000.00",34-4,,,,,,02,,N/A,Arcohe Elem (arcohe Union Elem Schl Dist),Alteration to: MULTI-PURPOSE BLDG,School (K-12),,3/2/2001,,,,NA,,,95638,,,,,,103083,,34-4,,34,34-4,Arcohe Union Elementary School District,02  103083,,"$423,181.85",,,requested 90 day 11/21/02 JBB Closed #1,02,Arcohe Elem (arcohe Union Elem Schl Dist),,,11755 Ivie Rd,Arcohe Elem (arcohe Union Elem Schl Dist),Alteration to: MULTI-PURPOSE BLDG,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=103083
0,11755 Ivie Rd,,,,,104105,,2/22/2002,,Herald,Closed #1 5/2/03 JBB,,5/14/2003,,"$18,871.00","$122,980.00",,,,"$100,000.00",34-4,,,,,,02,67280-1,N/A,Arcohe Elem (arcohe Union Elem Schl Dist),Construction of (2) 24' X 40' PORTABLE CLSRM BLDGS,School (K-12),,2/20/2002,,,,NA,,,95638,,,,,,104105,,34-4,,34,34-4,Arcohe Union Elementary School District,02  104105,,"$141,851.00",,,Closed #1 5/2/03 JBB,02,Arcohe Elem (arcohe Union Elem Schl Dist),67280-1,,11755 Ivie Rd,Arcohe Elem (arcohe Union Elem Schl Dist),Construction of (2) 24' X 40' PORTABLE CLSRM BLDGS,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=104105
0,11755 Ivie Rd,,,,,105381,,6/1/2004,,Herald,"Adjusted est cost per architect's revised application and fee. DB. see structural notes on yellow work sheet for more info, k.bayar. 30% Invoice #3909 for $8,766.91 paid on 09/23/2008 (aom)",12,12/27/2012 1:04:03 PM,,"($187,701.84)","$6,419,000.00",,,,"$1,500,000.00",34-4,,,,,,02,67280-2,Class 2,Arcohe Elem (arcohe Union Elem Schl Dist),"Construction of CR Bldg. ,MP Bldg. and three 24x40 c.r. bldgs.",School (K-12),,4/28/2003,,,,NA,,,95638,"$4,700,000.00",$0.00,1/21/2004,,6/8/2004,105381,,34-4,,34,34-4,Arcohe Union Elementary School District,02  105381,,"$6,231,298.16",0,25.3,"Adjusted est cost per architect's revised application and fee. DB. see structural notes on yellow work sheet for more info, k.bayar. 30% Invoice #3909 for $8,766.91 paid on 09/23/2008 (aom)",02,Arcohe Elem (arcohe Union Elem Schl Dist),67280-2,19951,11755 Ivie Rd,Arcohe Elem (arcohe Union Elem Schl Dist),"Construction of CR Bldg. ,MP Bldg. and three 24x40 c.r. bldgs.",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=105381
0,11755 Ivie Road,,,,,100858,,11/20/1998,,Herald,**Re-exam Fee for $500.00 paid on 5/7/14(ch)**,0,8/31/2016 2:35:46 PM,,$0.00,"$65,067.00",,,,"$35,000.00",34-4,,,,,,02,N/A,Class 1,Arcohe Elementary School,ALTS. TO CLSRM. BLDG. (RELOCATION),School (K-12),,11/19/1998,,,,NA,,,95638,$0.00,$0.00,,,,100858,,34-4,,34,34-4,Arcohe Union Elementary School District,02  100858,,"$65,067.00",0,0,**Re-exam Fee for $500.00 paid on 5/7/14(ch)**,02,Arcohe Elementary School,N/A,0,11755 Ivie Road,Arcohe Elementary School,ALTS. TO CLSRM. BLDG. (RELOCATION),https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=100858
0,11755 Ivie Rd.,,,,,117289,,12/10/2018,,Herald,Form DSA-168 for Final Construction Cost has been submitted. All fees have been reconciled. The project is closed and no more documents are required. 12/16/19  (DD),0,,,"$40,861.58","$412,400.00",,,,"$515,000.00",34-4,,,,,,02,67280-4,N/A,Arcohe Elementary School (arcohe Unified School District),Alterations to 1-Parking Lot,School (K-12),,12/10/2018,,,,NA,,,95638,$0.00,$0.00,,,,117289,,34-4,,34,34-4,Arcohe Union Elementary School District,02  117289,,"$453,261.58",0,0,Form DSA-168 for Final Construction Cost has been submitted. All fees have been reconciled. The project is closed and no more documents are required. 12/16/19  (DD),02,Arcohe Elementary School (arcohe Unified School District),67280-4,0,11755 Ivie Rd.,Arcohe Elementary School (arcohe Unified School District),Alterations to 1-Parking Lot,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=117289
0,11755 Ivie Rd.,,,,,117607,,8/20/2019,,Herald,"5/9/19 Remaining filing fee balance of $337.50 paid (AR)
5/7/19 Partial filing fee received; remaining balance of $337.50 due by 5/10/19 (AR)",0,11/16/2022 12:34:58 PM,,"$29,588.86","$278,000.00",,,,"$225,000.00",34-4,,,,,,02,67280-0006,Class 3,Arcohe Elementary School (arcohe Union Elementary School District),Alterations to 1-Multi-purpose Building; Construction of 1-Walk-in Freezer,School (K-12),,5/9/2019,,,,NA,,,95638,$0.00,$0.00,,,,117607,,34-4,,34,34-4,Arcohe Union Elementary School District,02  117607,,"$307,588.86",0,0,"5/9/19 Remaining filing fee balance of $337.50 paid (AR)
5/7/19 Partial filing fee received; remaining balance of $337.50 due by 5/10/19 (AR)",02,Arcohe Elementary School (arcohe Union Elementary School District),67280-0006,0,11755 Ivie Rd.,Arcohe Elementary School (arcohe Union Elementary School District),Alterations to 1-Multi-purpose Building; Construction of 1-Walk-in Freezer,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=117607
0,11755 Ivie Road,,,,,101342,,7/8/1999,,Herald,"Entire scope constructed    GF  11/8/99
Closed #1",,1/21/2000,,$0.00,"$120,000.00",,,,"$120,000.00",34-4,,,,,,02,,Class 1,Arcohe Elementary School - Arcohe Union School District,CONST. OF TWO  CLSRM. BLDGS. (RELOCATABLE),School (K-12),,6/16/1999,,,,NA,,,95638,,,,,,101342,,34-4,,34,34-4,Arcohe Union Elementary School District,02  101342,,"$120,000.00",,,"Entire scope constructed    GF  11/8/99
Closed #1",02,Arcohe Elementary School - Arcohe Union School District,,,11755 Ivie Road,Arcohe Elementary School - Arcohe Union School District,CONST. OF TWO  CLSRM. BLDGS. (RELOCATABLE),https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=101342
